rank,id,symbol,name,filepath,rows,status,error
181,steakhouse-usdc-morpho-vault,steakusdc,Steakhouse USDC Morpho Vault,data\0181_steakhouse-usdc-morpho-vault_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
189,wrapped-hype,whype,Wrapped HYPE,data\0189_wrapped-hype_usd_prices_365d.csv,249,ok,
182,swissborg,borg,SwissBorg,data\0182_swissborg_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
183,arbitrum-bridged-wrapped-eeth,weeth,Arbitrum Bridged Wrapped eETH (Arbitrum),data\0183_arbitrum-bridged-wrapped-eeth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
184,vaulta,a,Vaulta,data\0184_vaulta_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
185,decentraland,mana,Decentraland,data\0185_decentraland_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
190,usdd,usdd,USDD,data\0190_usdd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
198,aethir,ath,Aethir,data\0198_aethir_usd_prices_365d.csv,366,ok,
191,mantle-restaked-eth,cmeth,Mantle Restaked ETH,data\0191_mantle-restaked-eth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
199,kinetiq-earn-vault,vkhype,Kinetiq Earn Vault,data\0199_kinetiq-earn-vault_usd_prices_365d.csv,35,ok,
192,jito-governance-token,jto,Jito,data\0192_jito-governance-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
200,sun-token,sun,Sun Token,data\0200_sun-token_usd_prices_365d.csv,366,ok,
193,flow,flow,Flow,data\0193_flow_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
201,havven,snx,Synthetix,data\0201_havven_usd_prices_365d.csv,366,ok,
194,eigenlayer,eigen,EigenCloud (prev. EigenLayer),data\0194_eigenlayer_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
202,satoshi-stablecoin,satusd,Satoshi Stablecoin,data\0202_satoshi-stablecoin_usd_prices_365d.csv,366,ok,
195,syrup,syrup,Maple Finance,data\0195_syrup_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
196,falcon-finance-ff,ff,Falcon Finance,data\0196_falcon-finance-ff_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
197,polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),data\0197_polygon-pos-bridged-weth-polygon-pos_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
203,frax-ether,frxeth,Frax Ether,data\0203_frax-ether_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
211,vision-3,vsn,Vision,data\0211_vision-3_usd_prices_365d.csv,104,ok,
204,merlin-chain,merl,Merlin Chain,data\0204_merlin-chain_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
